Accession,group1,group2
SSA_00051,1001,2272
SSA_00161,2015,1002
SSA_00087,1003,2222
SSA_00209,2108,1004
SSA_00369,2256,1005
SSA_00255,2164,1006
SSA_00314,2234,1007
SSA_00053,2232,1008
SSA_00107,2170,1009
SSA_00075,1010,2284
SSA_00157,1011,2250
SSA_00313,1012,2278
SSA_00023,1013,2124
SSA_00154,1014,2208
SSA_00264,1015,2265
SSA_00287,2218,1016
SSA_00003,1017,2042
SSA_00187,1018,2198
SSA_00034,1019,2038
SSA_00200,2259,1020
SSA_00167,1021,2031
SSA_00029,2123,1022
SSA_00079,1023,2280
SSA_00179,2211,1024
SSA_00108,1025,2146
SSA_00212,1026,2135
SSA_00006,1027,2304
SSA_00132,2017,1028
SSA_00284,2241,1029
SSA_00232,2071,1030
SSA_00297,1031,2142
SSA_00010,1032,2180
SSA_00304,2271,1033
SSA_00258,1034,2251
SSA_00047,2174,1035
SSA_00164,2227,1036
SSA_00168,1037,2203
SSA_00026,1038,2107
SSA_00266,2281,1039
SSA_00180,1040,2223
SSA_00183,2036,1041
SSA_00262,2028,1042
SSA_00105,2195,1043
SSA_00286,1044,2264
SSA_00242,2113,1045
SSA_00261,2212,1046
SSA_00302,1047,2074
SSA_00259,2045,1048
SSA_00009,2011,1049
SSA_00205,1050,2185
SSA_00041,1051,2133
SSA_00086,1052,2148
SSA_00199,1053,2138
SSA_00136,1054,2163
SSA_00139,1055,2089
SSA_00044,2184,1056
SSA_00109,2134,1057
SSA_00188,1058,2012
SSA_00291,2186,1059
SSA_00092,2143,1060
SSA_00104,1061,2178
SSA_00031,2094,1062
SSA_00022,2246,1063
SSA_00269,1064,2145
SSA_00224,2099,1065
SSA_00042,1066,2077
SSA_00134,1067,2306
SSA_00303,1068,2004
SSA_00171,1069,2313
SSA_00249,2088,1070
SSA_00220,2057,1071
SSA_00280,2290,1072
SSA_00367,1073,2209
SSA_00296,1074,2200
SSA_00067,2027,1075
SSA_00106,2078,1076
SSA_00155,1077,2263
SSA_00339,1078,2115
SSA_00216,2047,1079
SSA_00140,1080,2005
SSA_00263,2160,1081
SSA_00201,1082,2317
SSA_00228,1083,2062
SSA_00290,1084,2101
SSA_00211,1085,2292
SSA_00073,2052,1086
SSA_00230,1087,2309
SSA_00008,2087,1088
SSA_00082,2318,1089
SSA_00030,1090,2067
SSA_00049,1091,2301
SSA_00267,1092,2247
SSA_00197,2154,1093
SSA_00177,2050,1094
SSA_00128,2312,1095
SSA_00308,2021,1096
SSA_00307,2310,1097
SSA_00081,2063,1098
SSA_00292,2104,1099
SSA_00281,2054,1100
SSA_00091,2296,1101
SSA_00115,1102,2314
SSA_00231,2085,1103
SSA_00295,1104,2001
SSA_00306,1105,2288
SSA_00080,2279,1106
SSA_00234,2035,1107
SSA_00254,1108,2175
SSA_00027,1109,2128
SSA_00135,1110,2204
SSA_00007,2253,1111
SSA_00189,1112,2199
SSA_00005,1113,2141
SSA_00131,2110,1114
SSA_00152,1115,2240
SSA_00380,1116,2188
SSA_00001,1117,2228
SSA_00310,1118,2010
SSA_00064,1119,2161
SSA_00311,1120,2090
SSA_00185,2069,1121
SSA_00301,2315,1122
SSA_00145,1123,2156
SSA_00196,2294,1124
SSA_00203,2308,1125
SSA_00268,2299,1126
SSA_00089,1127,2019
SSA_00013,1128,2055
SSA_00285,1129,2249
SSA_00055,1130,2226
SSA_00250,1131,2109
SSA_00127,1132,2238
SSA_00190,1133,2283
SSA_00172,2224,1134
SSA_00035,1135,2266
SSA_00265,2166,1136
SSA_00033,1137,2298
SSA_00235,1138,2150
SSA_00085,1139,2051
SSA_00119,2023,1140
SSA_00040,1141,2153
SSA_00014,1142,2181
SSA_00144,1143,2248
SSA_00062,1144,2066
SSA_00056,1145,2068
SSA_00318,1146,2053
SSA_00279,1147,2289
SSA_00240,1148,2060
