Accession,group1,group2
SSA_151,2246,1001
SSA_045,1002,2121
SSA_369,2267,1003
SSA_253,2216,1004
SSA_313,1005,2050
SSA_134,2236,1006
SSA_004,1007,2063
SSA_307,1008,2284
SSA_293,1009,2141
SSA_008,1010,2227
SSA_154,2221,1011
SSA_263,2107,1012
SSA_240,2067,1013
SSA_017,1014,2192
SSA_111,2303,1015
SSA_162,1016,2131
SSA_258,2086,1017
SSA_098,1018,2120
SSA_302,2264,1019
SSA_120,2202,1020
SSA_093,1021,2022
SSA_199,2130,1022
SSA_201,2197,1023
SSA_044,1024,2155
SSA_243,2034,1025
SSA_214,1026,2175
SSA_299,1027,2320
SSA_236,1028,2248
SSA_064,1029,2215
SSA_264,2233,1030
SSA_078,2051,1031
SSA_338,2286,1032
SSA_048,2305,1033
SSA_041,1034,2148
SSA_122,1035,2179
SSA_016,2048,1036
SSA_001,1037,2161
SSA_278,1038,2004
SSA_301,1039,2015
SSA_130,2078,1040
SSA_287,2252,1041
SSA_186,2077,1042
SSA_076,1043,2151
SSA_025,1044,2310
SSA_341,1045,2163
SSA_018,1046,2016
SSA_155,1047,2036
SSA_114,2041,1048
SSA_081,2219,1049
SSA_308,2186,1050
SSA_194,1051,2142
SSA_277,1052,2089
SSA_297,2276,1053
SSA_279,2289,1054
SSA_314,2068,1055
SSA_043,2302,1056
SSA_037,2217,1057
SSA_265,2071,1058
SSA_055,1059,2090
SSA_219,1060,2139
SSA_173,2108,1061
SSA_183,1062,2188
SSA_216,2300,1063
SSA_002,2226,1064
SSA_011,2316,1065
SSA_195,2285,1066
SSA_262,2169,1067
SSA_182,1068,2209
SSA_315,2269,1069
SSA_246,1070,2243
SSA_353,1071,2055
SSA_080,1072,2234
SSA_275,2115,1073
SSA_023,2232,1074
SSA_099,2082,1075
SSA_215,2261,1076
SSA_062,1077,2206
SSA_035,1078,2023
SSA_213,2135,1079
SSA_210,2194,1080
SSA_255,2265,1081
SSA_285,1082,2123
SSA_015,2160,1083
SSA_082,1084,2019
SSA_139,1085,2057
SSA_091,1086,2113
SSA_097,2083,1087
SSA_066,1088,2258
SSA_242,2106,1089
SSA_129,2231,1090
SSA_311,2140,1091
SSA_083,1092,2203
SSA_039,2132,1093
SSA_054,1094,2114
SSA_121,1095,2259
SSA_238,1096,2198
SSA_019,2170,1097
SSA_290,1098,2043
SSA_249,1099,2213
SSA_141,1100,2317
SSA_116,2312,1101
SSA_366,2255,1102
SSA_051,1103,2166
SSA_085,2040,1104
SSA_178,1105,2296
SSA_344,2278,1106
SSA_208,2220,1107
SSA_168,2298,1108
SSA_172,2185,1109
SSA_013,1110,2065
SSA_090,1111,2096
SSA_143,2097,1112
SSA_187,2297,1113
SSA_126,1114,2228
SSA_174,2144,1115
SSA_300,1116,2191
SSA_305,2136,1117
SSA_166,1118,2111
SSA_227,2069,1119
SSA_272,1120,2205
SSA_288,2304,1121
